stage,run_id,dataset,scene,n_views,init,split,downscale,background,depth_model,depth_align,sigma_rel,noise_corr_px,scale,shift,scale_jitter,shift_jitter,depth_kind,depth_lambda,iterations,sh_degree,seed,depth_sigma_rel,depth_noise_corr_px,depth_scale,depth_shift,depth_scale_jitter,depth_shift_jitter,depth_used,init_init,init_n_init_points,train_ids,eval_ids,n_train_views,n_eval_views,train_seconds,psnr_curve,scene_scale,n_gaussians,means_lr_final,psnr,ssim,lpips,unaligned_mae,unaligned_rmse,unaligned_absrel,unaligned_delta1,aligned_mae,aligned_rmse,aligned_absrel,aligned_delta1,chamfer_acc,chamfer_comp,chamfer,floater_frac,floater_count,n_opaque,wall_seconds,n_opacity_resets,prior_absrel,prior_mae,prior_rmse,prior_aligned_absrel,prior_coverage,init_sfm_n_points,depth_aligned_scale,depth_aligned_shift,depth_cache_hits,depth_cache_misses,depth_align_points,depth_align_points_min,n_eval_points
stage0_repro,chair__init-random__n_views-8__depth_lambda-0p0__densify_until-1p0__iterations-6000__means_lr_steps-30000__sh_degree-3__split-dietnerf,blender,chair,8,random,dietnerf,2,white,gt,gt,0.0,0.0,1.0,0.0,0.0,0.0,ssi,0.0,6000,3,0,0.0,0.0,1.0,0.0,0.0,0.0,False,random,100000,"[2, 16, 26, 55, 73, 76, 86, 93]","[0, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160, 168, 176, 184, 192]",8,25,80.96919679641724,"[[500, 25.22080637048118], [1000, 27.141879856209048], [1500, 28.201680816759016], [2000, 28.457253723897004], [2500, 28.721419747741503], [3000, 28.791508399200215], [3500, 29.1363885007288], [4000, 29.213709470587016], [4500, 29.1693315968039], [5000, 29.18052902160946], [5500, 29.172659680143113], [6000, 29.193482861843624]]",5.068507428277869,110907,0.00032284946419211205,26.270929136285023,0.925638222694397,0.06659298233687877,0.05077255634092801,0.14782616352223865,0.013364860281340638,0.9974446129735776,0.07045319086982288,0.12236017784768728,0.01849483177208385,0.9975790371121661,0.02220401980452808,0.006853295193612977,0.014528657499070528,0.1047080693501271,2760,26359,93.60037875175476,2,,,,,,,,,,,,,
stage0_repro,drums__init-random__n_views-8__depth_lambda-0p0__densify_until-1p0__iterations-6000__means_lr_steps-30000__sh_degree-3__split-dietnerf,blender,drums,8,random,dietnerf,2,white,gt,gt,0.0,0.0,1.0,0.0,0.0,0.0,ssi,0.0,6000,3,0,0.0,0.0,1.0,0.0,0.0,0.0,False,random,100000,"[2, 16, 26, 55, 73, 76, 86, 93]","[0, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160, 168, 176, 184, 192]",8,25,85.3019745349884,"[[500, 18.730088062365688], [1000, 19.740824044447425], [1500, 19.037899936316418], [2000, 18.64028882134165], [2500, 18.372872073253227], [3000, 18.136976070303888], [3500, 18.575495208326238], [4000, 18.347120310935267], [4500, 18.22808245483764], [5000, 18.091949004427576], [5500, 18.047166590456683], [6000, 17.95770920962338]]",4.706763126976154,172625,0.00029980738415130384,17.211751697897824,0.803621792793274,0.193684863448143,,,,,,,,,,,,,,,92.25606656074524,2,,,,,,,,,,,,,
stage0_repro,ficus__init-random__n_views-8__depth_lambda-0p0__densify_until-1p0__iterations-6000__means_lr_steps-30000__sh_degree-3__split-dietnerf,blender,ficus,8,random,dietnerf,2,white,gt,gt,0.0,0.0,1.0,0.0,0.0,0.0,ssi,0.0,6000,3,0,0.0,0.0,1.0,0.0,0.0,0.0,False,random,100000,"[2, 16, 26, 55, 73, 76, 86, 93]","[0, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160, 168, 176, 184, 192]",8,25,80.34895610809326,"[[500, 22.154971269168726], [1000, 22.40184251665365], [1500, 22.49960639291015], [2000, 22.435171634677694], [2500, 22.32450522437814], [3000, 22.199734132806306], [3500, 22.288035091981577], [4000, 22.200666745543213], [4500, 22.14410110630997], [5000, 22.099982477620078], [5500, 22.080102906338944], [6000, 22.058788039872233]]",4.795015165739007,103099,0.0003054287872628974,23.864879863372394,0.9254064798355103,0.06472863622009754,,,,,,,,,,,,,,,87.1912944316864,2,,,,,,,,,,,,,
stage0_repro,hotdog__init-random__n_views-8__depth_lambda-0p0__densify_until-1p0__iterations-6000__means_lr_steps-30000__sh_degree-3__split-dietnerf,blender,hotdog,8,random,dietnerf,2,white,gt,gt,0.0,0.0,1.0,0.0,0.0,0.0,ssi,0.0,6000,3,0,0.0,0.0,1.0,0.0,0.0,0.0,False,random,100000,"[2, 16, 26, 55, 73, 76, 86, 93]","[0, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160, 168, 176, 184, 192]",8,25,82.35046482086182,"[[500, 23.75409318550413], [1000, 28.67515038992822], [1500, 29.355213167807303], [2000, 29.557023172011462], [2500, 29.639782155097393], [3000, 29.89682726684578], [3500, 29.834785174122374], [4000, 29.89361066375467], [4500, 30.00838052770869], [5000, 29.942337219147497], [5500, 29.948861698903695], [6000, 29.931807256259763]]",4.853493480888102,77332,0.0003091536891161349,22.42897137002521,0.9074371337890625,0.14090827390551566,,,,,,,,,,,,,,,89.41870141029358,2,,,,,,,,,,,,,
stage0_repro,lego__init-random__n_views-8__depth_lambda-0p0__densify_until-1p0__iterations-6000__means_lr_steps-30000__sh_degree-3__split-dietnerf,blender,lego,8,random,dietnerf,2,white,gt,gt,0.0,0.0,1.0,0.0,0.0,0.0,ssi,0.0,6000,3,0,0.0,0.0,1.0,0.0,0.0,0.0,False,random,100000,"[2, 16, 26, 55, 73, 76, 86, 93]","[0, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160, 168, 176, 184, 192]",8,25,87.78304815292358,"[[500, 19.96808058997908], [1000, 21.06655598232565], [1500, 21.15376221127824], [2000, 21.18232532947477], [2500, 21.16926457241832], [3000, 21.13258752789218], [3500, 21.583085548580826], [4000, 21.573234073671447], [4500, 21.502940769686383], [5000, 21.45983770145826], [5500, 21.459264083128343], [6000, 21.506914463231805]]",6.003738571874735,155290,0.00038242102009463963,22.89414819841397,0.859454185962677,0.12810943022370339,0.04810897715041664,0.09245819238924957,0.012764075662035882,0.9992954626802276,0.052604340063351226,0.09008069764803919,0.01414528473168998,0.9995537451914309,0.02522399981337023,0.008671211122885769,0.016947605468128,0.05883167539871212,2549,43327,98.93144416809082,2,,,,,,,,,,,,,
stage0_repro,materials__init-random__n_views-8__depth_lambda-0p0__densify_until-1p0__iterations-6000__means_lr_steps-30000__sh_degree-3__split-dietnerf,blender,materials,8,random,dietnerf,2,white,gt,gt,0.0,0.0,1.0,0.0,0.0,0.0,ssi,0.0,6000,3,0,0.0,0.0,1.0,0.0,0.0,0.0,False,random,100000,"[2, 16, 26, 55, 73, 76, 86, 93]","[0, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160, 168, 176, 184, 192]",8,25,85.48766136169434,"[[500, 14.819121954016456], [1000, 14.574567393391133], [1500, 14.166530642271589], [2000, 13.903334754909327], [2500, 13.71299377574673], [3000, 13.596134318446692], [3500, 13.939677396425635], [4000, 13.792670449648195], [4500, 13.710414694544147], [5000, 13.652654255040456], [5500, 13.608965463233833], [6000, 13.578213905143814]]",6.120883491383313,160731,0.00038988281728668053,14.879689758457896,0.7568630719184876,0.2427102118730545,,,,,,,,,,,,,,,92.50623774528503,2,,,,,,,,,,,,,
stage0_repro,mic__init-random__n_views-8__depth_lambda-0p0__densify_until-1p0__iterations-6000__means_lr_steps-30000__sh_degree-3__split-dietnerf,blender,mic,8,random,dietnerf,2,white,gt,gt,0.0,0.0,1.0,0.0,0.0,0.0,ssi,0.0,6000,3,0,0.0,0.0,1.0,0.0,0.0,0.0,False,random,100000,"[2, 16, 26, 55, 73, 76, 86, 93]","[0, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160, 168, 176, 184, 192]",8,25,82.44305539131165,"[[500, 26.01230832107309], [1000, 26.423274138226], [1500, 26.04635565467155], [2000, 25.589431848121393], [2500, 25.629463620475132], [3000, 25.48850180198697], [3500, 25.90680743615619], [4000, 25.79169063629658], [4500, 25.636179176311238], [5000, 25.59005346243311], [5500, 25.538409793288594], [6000, 25.520176747069]]",4.325672982265601,125134,0.00027553302907346483,25.792543155728026,0.9508516049385071,0.06077085273340344,,,,,,,,,,,,,,,89.25050806999207,2,,,,,,,,,,,,,
stage0_repro,ship__init-random__n_views-8__depth_lambda-0p0__densify_until-1p0__iterations-6000__means_lr_steps-30000__sh_degree-3__split-dietnerf,blender,ship,8,random,dietnerf,2,white,gt,gt,0.0,0.0,1.0,0.0,0.0,0.0,ssi,0.0,6000,3,0,0.0,0.0,1.0,0.0,0.0,0.0,False,random,100000,"[2, 16, 26, 55, 73, 76, 86, 93]","[0, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160, 168, 176, 184, 192]",8,25,95.78274893760681,"[[500, 17.09346650759815], [1000, 17.77496103029865], [1500, 17.476216956634403], [2000, 17.317415762172672], [2500, 17.155524019419612], [3000, 17.050272340268027], [3500, 17.200350011938568], [4000, 17.086629195674103], [4500, 17.020337134222103], [5000, 16.959290805738256], [5500, 16.925704459012024], [6000, 16.869214844929886]]",5.57139466794628,186124,0.00035488194676680453,16.780034031699778,0.6908761215209961,0.2937323474884033,0.1505930540637781,0.23820750122758982,0.038707371402991776,0.9870962449826493,0.1349114855205424,0.18853250153327533,0.03613290415667376,0.9950054348031814,0.09288440879014057,0.031208073755614806,0.06204624127287769,0.1563380281690141,5883,37630,110.51055002212524,2,,,,,,,,,,,,,
stage1,chair__init-depth__n_views-3__depth_lambda-0p0,blender,chair,3,depth,fps,2,white,gt,gt,0.0,0.0,1.0,0.0,0.0,0.0,ssi,0.0,7000,0,0,0.0,0.0,1.0,0.0,0.0,0.0,True,depth,19669,"[0, 32, 6]","[0, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160, 168, 176, 184, 192]",3,25,83.54436683654785,"[[500, 24.200054252356082], [1000, 24.353610964254784], [1500, 24.249967303844926], [2000, 24.206375770802588], [2500, 24.167488366384042], [3000, 24.14393928302645], [3500, 24.262087143436545], [4000, 24.22490682916664], [4500, 24.198743890912], [5000, 24.185056115741872], [5500, 24.177990933005958], [6000, 24.168421009335038], [6500, 24.15584972483547], [7000, 24.140613653060388]]",4.306069181176648,41832,6.889710689883167e-06,22.219355917678712,0.8643744254112243,0.11789892330765724,0.04645892543547969,0.12031068884790988,0.012200929474949227,0.9979040008871487,0.05545429274065666,0.10862022576831415,0.01459845077284286,0.9981977874056401,0.017195425525669376,0.007346487040991839,0.012270956283330609,0.003647231649865762,72,19741,93.9313051700592,2,0.0,0.0,0.0,4.1428160423524487e-16,1.0,,,,,,,,
stage1,chair__init-depth__n_views-5__depth_lambda-0p0,blender,chair,5,depth,fps,2,white,gt,gt,0.0,0.0,1.0,0.0,0.0,0.0,ssi,0.0,7000,0,0,0.0,0.0,1.0,0.0,0.0,0.0,True,depth,35955,"[0, 32, 6, 2, 39]","[0, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160, 168, 176, 184, 192]",5,25,86.46158957481384,"[[500, 28.273922608811922], [1000, 28.227282997900417], [1500, 28.23654297064131], [2000, 28.146763115223536], [2500, 28.031162127543077], [3000, 27.984635020341074], [3500, 27.938158905267926], [4000, 27.859166502561223], [4500, 27.81446985953264], [5000, 27.758673586869357], [5500, 27.741368266705972], [6000, 27.704316302506257], [6500, 27.679883519420216], [7000, 27.678278969177676]]",4.453711311592712,58318,7.125938098548859e-06,25.02189608760307,0.9048935461044312,0.0783911493420601,0.02993863405752163,0.07302152364734785,0.00790898535269386,0.9986322877824582,0.03288016509180583,0.06950976572866738,0.008755954499712722,0.9988597871886771,0.012565181702918132,0.006215228873186662,0.009390205288052397,0.014424050889348082,356,24681,96.54898452758789,2,0.0,0.0,0.0,2.964986277208822e-16,1.0,,,,,,,,
